protection	configuration	head_mode	training_mode	epoch	lr	train_loss	train_accuracy	accuracy	fidelity	kl_divergence_victim_to_surrogate
full_protection	replace_finetune	replace	finetune	36	0.001	0.11045278465747833	0.996	0.1773	0.1896	3.3415773834228517
full_protection	replace_finetune	replace	finetune	37	0.001	0.10338519120216369	0.994	0.1769	0.1885	3.338656262588501
full_protection	replace_finetune	replace	finetune	38	0.001	0.07989926064014435	0.998	0.1779	0.1893	3.331675708389282
full_protection	replace_finetune	replace	finetune	39	0.001	0.0853654311299324	0.994	0.1764	0.1885	3.335388575744629
full_protection	replace_finetune	replace	finetune	40	0.001	0.08296798580884933	0.998	0.1779	0.1899	3.3334616188049315
full_protection	replace_finetune	replace	finetune	41	0.001	0.10752356970310212	0.992	0.179	0.1915	3.3397991523742676
full_protection	replace_finetune	replace	finetune	42	0.001	0.09323226869106292	0.988	0.1783	0.19	3.3366906608581544
full_protection	replace_finetune	replace	finetune	43	0.001	0.09953998589515686	0.996	0.1756	0.1876	3.340230028915405
full_protection	replace_finetune	replace	finetune	44	0.001	0.08380931341648101	0.998	0.1769	0.1888	3.3412461196899415
full_protection	replace_finetune	replace	finetune	45	0.001	0.08981094062328339	0.992	0.1766	0.1899	3.3431662788391114
full_protection	replace_finetune	replace	finetune	46	0.001	0.08428450661897659	0.994	0.1761	0.1893	3.331708313369751
full_protection	replace_finetune	replace	finetune	47	0.001	0.07965460789203643	0.992	0.1775	0.1892	3.3354538665771485
full_protection	replace_finetune	replace	finetune	48	0.001	0.07701833873987197	1.0	0.177	0.19	3.3342729751586915
full_protection	replace_finetune	replace	finetune	49	0.001	0.0946470559835434	0.992	0.1774	0.19	3.3393761001586912
full_protection	replace_finetune	replace	finetune	50	0.001	0.07968163287639618	0.996	0.1789	0.1911	3.345385397338867
full_protection	replace_finetune	replace	finetune	51	0.001	0.09529855650663376	0.996	0.18	0.1923	3.339833464431763
full_protection	replace_finetune	replace	finetune	52	0.001	0.08982380902767181	0.992	0.1787	0.1922	3.350667409515381
full_protection	replace_finetune	replace	finetune	53	0.001	0.08721339869499206	0.994	0.1777	0.1907	3.343247231292725
full_protection	replace_finetune	replace	finetune	54	0.001	0.07114090085029602	0.998	0.1777	0.1903	3.338478160858154
full_protection	replace_finetune	replace	finetune	55	0.001	0.07413226902484894	1.0	0.1775	0.1894	3.3440829349517824
full_protection	replace_finetune	replace	finetune	56	0.001	0.07254687058925628	1.0	0.1772	0.1894	3.344596728515625
full_protection	replace_finetune	replace	finetune	57	0.001	0.08660515850782394	0.992	0.1764	0.1888	3.349358074569702
full_protection	replace_finetune	replace	finetune	58	0.001	0.08086457169055938	0.996	0.178	0.1901	3.3494374130249023
full_protection	replace_finetune	replace	finetune	59	0.001	0.0716809168457985	0.99	0.1766	0.1894	3.35044778137207
full_protection	replace_finetune	replace	finetune	60	0.001	0.09743953430652619	0.992	0.1762	0.1894	3.336935752105713
full_protection	replace_finetune	replace	finetune	61	0.0001	0.06763161838054657	0.998	0.1769	0.19	3.3339756855010987
full_protection	replace_finetune	replace	finetune	62	0.0001	0.06961333793401718	1.0	0.1773	0.1899	3.3405206493377686
full_protection	replace_finetune	replace	finetune	63	0.0001	0.07203457069396972	0.994	0.1784	0.191	3.34179185256958
full_protection	replace_finetune	replace	finetune	64	0.0001	0.07994249391555786	0.996	0.1787	0.1912	3.336947811126709
full_protection	replace_finetune	replace	finetune	65	0.0001	0.08962993845343589	0.992	0.1785	0.191	3.3361625366210936
full_protection	replace_finetune	replace	finetune	66	0.0001	0.06429590928554535	0.998	0.177	0.1896	3.336247496795654
full_protection	replace_finetune	replace	finetune	67	0.0001	0.07220881783962249	1.0	0.177	0.1888	3.338851731109619
full_protection	replace_finetune	replace	finetune	68	0.0001	0.07825532495975494	0.994	0.1782	0.1894	3.342081734085083
full_protection	replace_finetune	replace	finetune	69	0.0001	0.08012922257184982	0.994	0.1784	0.1908	3.338373551940918
full_protection	replace_finetune	replace	finetune	70	0.0001	0.07087235060334206	0.998	0.1787	0.1911	3.3411859436035156
full_protection	replace_finetune	replace	finetune	71	0.0001	0.08842817133665085	0.992	0.1783	0.1905	3.3434209022521975
full_protection	replace_finetune	replace	finetune	72	0.0001	0.08366286706924439	0.996	0.1779	0.1901	3.351756721878052
full_protection	replace_finetune	replace	finetune	73	0.0001	0.07534267264604569	0.998	0.1766	0.1903	3.354291300201416
full_protection	replace_finetune	replace	finetune	74	0.0001	0.07797832429409027	0.998	0.178	0.1908	3.3438503479003905
full_protection	replace_finetune	replace	finetune	75	0.0001	0.07110720860958099	0.996	0.1779	0.1915	3.332132805633545
full_protection	replace_finetune	replace	finetune	76	0.0001	0.08223987567424774	0.992	0.1773	0.1906	3.345927247619629
full_protection	replace_finetune	replace	finetune	77	0.0001	0.07071986424922944	0.998	0.175	0.1883	3.346913242340088
full_protection	replace_finetune	replace	finetune	78	0.0001	0.07423796367645263	0.996	0.1764	0.1885	3.3407534652709963
full_protection	replace_finetune	replace	finetune	79	0.0001	0.06755069056153297	0.996	0.1774	0.1918	3.3466843379974365
full_protection	replace_finetune	replace	finetune	80	0.0001	0.08735256779193878	0.996	0.1767	0.1899	3.3414036304473878
full_protection	replace_finetune	replace	finetune	81	0.0001	0.08493707835674286	1.0	0.1773	0.1914	3.3407719451904296
full_protection	replace_finetune	replace	finetune	82	0.0001	0.07264797532558441	0.998	0.1766	0.1898	3.3433985958099366
full_protection	replace_finetune	replace	finetune	83	0.0001	0.07467291921377182	0.996	0.178	0.1909	3.3472665748596193
full_protection	replace_finetune	replace	finetune	84	0.0001	0.06733634132146836	1.0	0.1763	0.19	3.337475811767578
full_protection	replace_finetune	replace	finetune	85	0.0001	0.07771916061639786	0.998	0.1773	0.1899	3.3398973167419435
full_protection	replace_finetune	replace	finetune	86	0.0001	0.060643725454807285	1.0	0.1767	0.19	3.343649349975586
full_protection	replace_finetune	replace	finetune	87	0.0001	0.0761759676039219	0.996	0.1767	0.1897	3.3511488121032715
full_protection	replace_finetune	replace	finetune	88	0.0001	0.06299148938059806	1.0	0.1777	0.1902	3.3467502685546875
