seed	subset	restored_group_count	restored_groups	restored_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms
43	110	5	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma,head	314148	2.4381887817382815	1.9116506958007813	0.34	2.315284881591797	0.5147185339775232	11.607890625	2.365965959576553
43	111	6	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,bn_gamma,head	351012	1.9493174743652344	1.4227793884277344	0.45	2.1160968017578123	0.520029828609901	11.72911865234375	2.4081036691243174
43	112	3	layer3_0_conv1,bn_gamma,head	351012	3.41156982421875	2.88503173828125	0.27	2.0876177978515624	0.5762360266193216	12.9502880859375	2.5481573458825104
43	113	4	layer1_0_conv1,layer3_0_conv1,bn_gamma,head	387876	2.6501556396484376	2.1236175537109374	0.4	1.8688575744628906	0.5874973702879145	13.21135009765625	2.596928775014825
43	114	4	layer1_1_conv1,layer3_0_conv1,bn_gamma,head	387876	2.5607391357421876	2.0342010498046874	0.37	1.8521810913085937	0.5801123201200592	13.0530126953125	2.5473054084169022
43	115	5	layer1_0_conv1,layer1_1_conv1,layer3_0_conv1,bn_gamma,head	424740	1.962989501953125	1.4364512634277344	0.53	1.6551734924316406	0.5978596340009698	13.450733642578125	2.639410445535139
43	116	4	layer2_0_conv1,layer3_0_conv1,bn_gamma,head	424740	1.6769087219238281	1.1503704833984374	0.54	1.3617190551757812	0.6159859310871989	13.85126708984375	2.6817869508967336
43	117	5	layer1_0_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma,head	461604	1.0484548950195312	0.5219168090820312	0.71	1.0546591186523437	0.6395532491196277	14.383714599609375	2.841876580712118
43	118	5	layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma,head	461604	0.95740234375	0.4308642578125	0.78	1.0457977294921874	0.6172581422190737	13.897471923828125	2.7480524353621787
43	119	6	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,bn_gamma,head	498468	0.695869140625	0.1693310546875	0.87	0.7033415222167969	0.6529038342267924	14.691290283203125	2.9504409098472046
43	120	4	layer2_1_conv1,layer3_0_conv1,bn_gamma,head	498468	3.2952511596679686	2.7687127685546873	0.28	1.9583474731445312	0.5867811634579475	13.1843603515625	2.5951431499533895
43	121	5	layer1_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	535332	2.58390380859375	2.0573654174804688	0.4	1.7273403930664062	0.6022427920824245	13.532001953125	2.673239490767709
43	122	5	layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	535332	2.416617736816406	1.8900796508789062	0.41	1.69048583984375	0.595693775541385	13.40031005859375	2.643011865041472
43	123	6	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	572196	1.8262127685546874	1.2996746826171874	0.53	1.488436737060547	0.6151388194642848	13.8361669921875	2.7589632337166075
43	124	5	layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	572196	1.4408734130859375	0.9143354797363281	0.61	1.2020060729980468	0.6289872206222116	14.14971923828125	2.762474547394057
43	125	6	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	609060	0.8257640075683593	0.299225902557373	0.83	0.8783884429931641	0.6562754017591255	14.748768310546875	2.93944722694591
43	126	6	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	609060	0.7273396301269531	0.20080146789550782	0.84	0.7886868286132812	0.6371435627514918	14.33584228515625	2.8627738679032966
43	127	7	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,bn_gamma,head	645924	0.5265382003784179	9.229173883795738e-08	1.0	0.5265257644653321	0.675200933996341	15.171854248046875	3.0788053182200397
44	0	0		0	11.4559228515625	10.97588623046875	0.01	2.118557891845703	8.109546301177243	169.62345703125	5.047332061346865
44	1	1	layer1_0_conv1	36864	8.309295654296875	7.82926025390625	0.01	2.749508056640625	5.297717715043078	111.395576171875	3.313985987447744
44	2	1	layer1_1_conv1	36864	35.22067626953125	34.7406396484375	0.0	0.7034317016601562	27.62934072231909	583.269921875	17.293192302174866
44	3	2	layer1_0_conv1,layer1_1_conv1	73728	9.549208984375	9.069172973632812	0.01	2.1531163024902344	6.5098708104500815	133.94326171875	4.052659234996201
44	4	1	layer2_0_conv1	73728	5.387996826171875	4.907961120605469	0.01	3.8476773071289063	2.424322729803561	54.503720703125	1.363866430639379
44	5	2	layer1_0_conv1,layer2_0_conv1	110592	5.5814141845703125	5.101378173828125	0.01	3.752386169433594	2.6133953403720085	57.7596875	1.521829696450953
44	6	2	layer1_1_conv1,layer2_0_conv1	110592	5.85013916015625	5.370103759765625	0.0	3.60305419921875	2.862519936304756	62.8060205078125	1.6827666254192826
44	7	3	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1	147456	5.964290771484375	5.484254760742187	0.01	3.494884338378906	3.033934257705352	66.53	1.803715674482816
44	8	1	layer2_1_conv1	147456	5.9413037109375	5.46126708984375	0.01	3.6072259521484376	2.6859780619755744	58.8322705078125	1.7247086484026801
44	9	2	layer1_0_conv1,layer2_1_conv1	184320	5.7833154296875	5.30327880859375	0.01	3.669974670410156	2.472837054013694	55.0259765625	1.624287524097104
44	10	2	layer1_1_conv1,layer2_1_conv1	184320	12.689161376953125	12.2091259765625	0.01	1.64832275390625	8.900552453885938	186.23400390625	5.674538527492786
44	11	3	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1	221184	5.416898803710938	4.93686279296875	0.0	3.7944879150390625	2.2987173733410553	50.685986328125	1.378867430402575
