seed	subset	public_group_count	public_groups	public_state_count	public_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
44	10	2	block_bn1,downsample	11	2816	1.6744210815429688	1.1943850708007813	0.59	2.2313421630859374	0.4369203924301189	9.80727783203125	1.9880396280004078	1.194384976575384
44	11	3	stem,block_bn1,downsample	12	2880	3.4895306396484376	3.00949462890625	0.2	2.7365533447265626	0.4176077451272704	9.404844360351563	1.9365070036021041	3.0094945346808526
44	12	2	block_bn2,downsample	11	2816	5.454583740234375	4.9745480346679685	0.2	0.975079345703125	1.3747738183998897	30.99449951171875	6.022828965693779	4.974547940442571
44	13	3	stem,block_bn2,downsample	12	2880	8.391851806640625	7.911815185546875	0.12	1.092563705444336	1.3693014906387946	30.8724951171875	6.286194198400174	7.911815091321477
44	14	3	block_bn1,block_bn2,downsample	19	4736	12.660235595703124	12.1802001953125	0.1	0.7782767486572265	1.7195655025552603	38.58902099609375	6.926000379006632	12.180200101087102
44	15	4	stem,block_bn1,block_bn2,downsample	20	4800	14.2311279296875	13.75109130859375	0.06	0.7516342163085937	1.6527006300472549	37.2059423828125	6.793147282372141	13.751091214368353
45	0	0		0	0	0.5275138092041015	9.549083188176155e-08	1.0	0.5274876403808594	0.6750023170713992	15.168955078125	3.0557215800854634	0.0
45	1	1	stem	1	64	1.7469126892089843	1.219398956298828	0.61	1.230270767211914	0.6295654178530181	14.18167724609375	2.840574875795391	1.2193988608079962
45	2	1	block_bn1	8	1920	1.113714141845703	0.5862004470825195	0.74	1.2182678985595703	0.587081272978063	13.148565673828125	2.5589916532200725	0.5862003515916876
45	3	2	stem,block_bn1	9	1984	2.5531231689453127	2.025609436035156	0.43	1.7886952209472655	0.5614537320865591	12.61043212890625	2.4567192617899996	2.0256093405443245
45	4	1	block_bn2	8	1920	2.441705322265625	1.9141915893554688	0.61	0.46659881591796876	1.489192326941384	33.417919921875	6.691955758595539	1.914191493864637
45	5	2	stem,block_bn2	9	1984	5.638433227539062	5.110919189453125	0.33	0.5617831420898437	1.4976943543013874	33.6589306640625	6.861193409312989	5.110919093962293
45	6	2	block_bn1,block_bn2	16	3840	10.8898095703125	10.362294921875	0.12	0.5768180465698243	1.779656119400687	39.1192724609375	6.564468752305856	10.362294826384169
45	7	3	stem,block_bn1,block_bn2	17	3904	13.1058154296875	12.57830078125	0.11	0.5296527862548828	1.7064421716700235	37.72244140625	6.148011365474205	12.578300685759169
45	8	1	downsample	3	896	0.8733171081542969	0.34580341339111326	0.86	1.4561734008789062	0.47376540508738835	10.6594091796875	2.1270100787255335	0.34580331790028135
45	9	2	stem,downsample	4	960	1.9914849853515626	1.4639712524414064	0.51	2.1871533203125	0.4488821556564128	10.124388427734376	2.0772332673233884	1.4639711569505744
45	10	2	block_bn1,downsample	11	2816	1.6164932250976562	1.0889794921875	0.57	2.19005126953125	0.4429766296008838	9.942752075195312	1.9842104262464202	1.088979396696668
45	11	3	stem,block_bn1,downsample	12	2880	3.172144470214844	2.6446307373046873	0.23	2.668001708984375	0.4264456452664269	9.61136474609375	1.9632383165321525	2.6446306418138557
45	12	2	block_bn2,downsample	11	2816	5.553887939453125	5.026373596191406	0.27	0.7979227447509766	1.387283995714513	31.28085693359375	6.131337792439754	5.026373500700574
45	13	3	stem,block_bn2,downsample	12	2880	8.122635498046876	7.595121459960938	0.13	0.9550906372070312	1.3824435639546127	31.187880859375	6.3264672211274435	7.595121364470105
45	14	3	block_bn1,block_bn2,downsample	19	4736	11.55884765625	11.0313330078125	0.1	0.7051594543457032	1.7239627981752355	38.73955078125	6.950999928067904	11.031332912321668
45	15	4	stem,block_bn1,block_bn2,downsample	20	4800	13.09888427734375	12.571370849609375	0.06	0.7425123596191406	1.6443118915460313	37.01392822265625	6.749613877845162	12.571370754118544
46	0	0		0	0	0.6262677764892578	1.1080614058300853e-07	1.0	0.6262628173828125	0.662368329476918	14.890223388671876	3.0214147141695067	0.0
46	1	1	stem	1	64	2.0195452880859377	1.3932774353027344	0.47	1.3815037536621093	0.6267131063149654	14.108734130859375	2.8038900154517474	1.393277324496594
46	2	1	block_bn1	8	1920	1.267493896484375	0.6412261962890625	0.74	1.3550961303710938	0.5764116953227812	12.90997314453125	2.546460702499648	0.6412260854829219
46	3	2	stem,block_bn1	9	1984	3.0727239990234376	2.446455841064453	0.28	1.9048648071289063	0.5491245585126555	12.33922119140625	2.4264696738523233	2.4464557302583123
46	4	1	block_bn2	8	1920	2.893946533203125	2.2676791381835937	0.47	0.5287531661987305	1.4694692595577343	32.948935546875	6.581126660762578	2.267679027377453
46	5	2	stem,block_bn2	9	1984	6.13454833984375	5.508280639648437	0.26	0.6543061828613281	1.485716293668962	33.3878076171875	6.812003651643178	5.508280528842297
46	6	2	block_bn1,block_bn2	16	3840	10.79377197265625	10.1675048828125	0.11	0.5651545715332031	1.7052864008677178	37.9760302734375	6.342547299784211	10.167504772006358
46	7	3	stem,block_bn1,block_bn2	17	3904	13.568223876953125	12.941956787109374	0.09	0.5163791275024414	1.6834971332485986	37.461513671875	6.029198485288073	12.941956676303233
46	8	1	downsample	3	896	0.9889112854003906	0.36264366149902344	0.81	1.57298828125	0.4663194022798397	10.4894384765625	2.1234491583565167	0.36264355069288284
46	9	2	stem,downsample	4	960	2.267301330566406	1.6410336303710937	0.46	2.309754638671875	0.44615221592430754	10.058525390625	2.060776173556944	1.6410335195649532
46	10	2	block_bn1,downsample	11	2816	1.8542982482910155	1.2280303955078125	0.52	2.2794493103027342	0.44176022000626136	9.920169677734375	1.9906385399853486	1.228030284701672
